country,region,subregion,population,population growth,area,GDP(PPP) per capita,Gini,Ethnic Fractionalization,Linguistic Fractionalization,Religious Fractionalization,cannabis,cigarettes,alcohol,MF ratio (birth),MF ratio (lt15),MF ratio 15-64,M/F >65,MF in population
Guam,Oceania,Micronesia,165124,0.01269,541,NA,NA,0,0.732,0.4082,18.4,NA,NA,1.06,1.07,1.04,0.85,1.03
Guatemala,Latin America and Caribbean,Central America,15468203,0.02505,108890,5153,55.5,0.5122,0.4586,0.3753,4.8,235,4.03,1.05,1.04,0.94,0.86,0.97
Guinea,Africa,Western Africa,11745189,0.02538,245857,1109,39.4,0.7389,0.7725,0.2649,NA,9,0.36,1.03,1.02,1,0.78,1
Guinea-Bissau,Africa,Western Africa,1704255,0.02387,36120,1210,35.5,0.8082,0.8141,0.6128,NA,97,3.68,1.03,1,0.93,0.66,0.95
Guyana,Latin America and Caribbean,South America,799613,0.00539,214970,7965,44.55,0.6195,0.0688,0.7876,2.6,49,9.5,1.05,1.04,1,0.71,1
Haiti,Latin America and Caribbean,Caribbean,10317461,0.01381,27750,1229,59.2,0.095,0,0.4704,1.4,100,6.61,1.011,1.02,0.99,0.62,0.98
Honduras,Latin America and Caribbean,Central America,8097688,0.02003,112090,4744,57.35,0.1867,0.0553,0.2357,0.8,217,4.48,1.05,1.04,1.01,0.81,1.01
Hong Kong,Asia,Eastern Asia,7203836,0.00735,1092,50936,53.5,0.062,0.2128,0.4191,0.4,NA,NA,1.075,1.09,0.94,0.88,0.95
Hungary,Europe,Eastern Europe,9954941,-0.00207,93030,19497,27.95,0.1522,0.0297,0.5244,2.3,1518,16.27,1.057,1.06,0.98,0.57,0.91
Iceland,Europe,Northern Europe,329535,0.01142,103000,39718,28,0.0798,0.082,0.1913,3.4,477,6.31,1.04,1.03,1.02,0.83,1
India,Asia,South-Central Asia,1252139596,0.01235,3287590,3843,35.1,0.4182,0.8069,0.326,3.2,96,0.75,1.12,1.13,1.07,0.9,1.08
Indonesia,Asia,South-Eastern Asia,249865631,0.01212,1919440,4923,35.4,0.7351,0.768,0.234,0.4,1085,0.59,1.05,1.03,1.01,0.8,1
Iran,Asia,South-Central Asia,77447168,0.01303,1648000,12986,41.4,0.6684,0.7462,0.1152,4.2,657,1.02,1.05,1.05,1.02,0.92,1.02
Iraq,Asia,Western Asia,33765232,0.02885,437072,7004,30.9,0.3689,0.3694,0.4844,NA,864,0.4,1.05,1.03,1.03,0.9,1.02
Ireland,Europe,Northern Europe,4627173,0.01128,70280,40716,34.1,0.1206,0.0312,0.155,6.3,1006,14.41,1.07,1.07,1,0.81,0.99
Israel,Asia,Western Asia,7733144,0.01302,20770,33878,39.2,0.3436,0.5525,0.3469,8.9,1037,2.89,1.05,1.05,1.03,0.77,1
Italy,Europe,Southern Europe,60990277,0.00208,301230,29812,33.95,0.1145,0.1147,0.3027,14.6,1475,10.68,1.07,1.06,1.03,0.72,0.96
Jamaica,Latin America and Caribbean,Caribbean,2783888,0.00517,10991,8916,45.5,0.4129,0.1098,0.616,9.9,283,5,1.05,1.03,0.97,0.81,0.98
Japan,Asia,Eastern Asia,127143577,-0.00084,377835,35855,37.85,0.0119,0.0178,0.5406,0.1,1841,8.03,1.06,1.06,1.02,0.74,0.95
Jordan,Asia,Western Asia,7273799,0.03502,92300,5977,37.55,0.5926,0.0396,0.0659,2.1,1372,0.71,1.06,1.04,1.15,0.93,1.1
Kazakhstan,Asia,South-Central Asia,16440586,0.01039,2717300,13526,28.95,0.6171,0.6621,0.5898,4.2,1934,10.96,1.06,1.04,0.95,0.54,0.93
Kenya,Africa,Eastern Africa,44353691,0.02669,582650,1781,45.1,0.8588,0.886,0.7765,2.1,144,4.14,1.02,1.01,1.01,0.84,1
Kiribati,Oceania,Micronesia,102351,0.01538,811,6241,NA,0.0511,0.0237,0.5541,NA,22,3.71,1.05,1.03,0.98,0.74,0.99
Kuwait,Asia,Western Asia,3368572,0.0361,17820,39874,NA,0.6604,0.3444,0.6745,3.1,1812,0.17,1.04,1.04,1.78,1.66,1.54
Kyrgyzstan,Asia,South-Central Asia,5547548,0.01353,198500,2351,34.8,0.6752,0.5949,0.447,6.4,942,5.09,1.05,1.04,0.96,0.64,0.96
Laos,Asia,South-Eastern Asia,6769727,0.01862,236800,2847,36.7,0.5139,0.6382,0.5453,0.9,435,6.73,1.04,1.01,0.98,0.76,0.98
